Name,Energie,Fett,FS,Kohlenhydrate,Zucker,Eiweiss,Salz,Label
Apfel,52,0.2,0,13.8,11,0.3,0,1
Banane,95,0.3,0.1,21,12,1.1,0.1,1
Haselnussschnitte,542,31.9,18.6,54,42.6,7.6,0.4,0
Gummibaerchen,343,0.1,0.1,77,46,6.9,0.07,0
Chips,503,28,2.6,53,2.9,6.3,2.8,0
Salzstangen,392,5.9,0.8,71,3.4,12,4.5,1
Fischstaebchen,195,7.7,0.6,18,0.8,13,1,0
Fritierte Pommes,289,14,1.3,36,0.3,3.4,0.7,0
Nudeln,359,2,0.5,70.9,3.5,12.8,0.01,1
Reis,349,0.9,0.3,77.3,0.3,7.3,0.01,1
Erbsen,86,1,0.2,9.4,3.5,6.4,0.01,1
Eisbergsalat,7,0,0,0.7,0.7,0.5,0.01,1
Moehre,31,0.18,0.1,4.7,4.6,0.9,0.023,1
Frikadelle,294,22,2.8,10.5,2,13.5,1.5,0
Spiegelei,204,17.1,6.1,1,1,11.4,0.54,1
Broetchen,271,1.6,0.5,55,1.2,8,1.7,0
Brotscheibe,229,4.9,0.8,35,2.3,7.7,1.03,1
Knaeckebrot,349,3,0.7,61,0.7,12,0.5,1
Zwieback,405,5.2,0.7,74,14,11,0.65,1
Salami,360,30.8,12.8,1.9,1.8,19.7,2.9,0
Gouda,354,27.7,17.9,0,0,26.3,2.17,1
Popcorn,499,23,13.8,57,3.8,10.7,1.8,0
Vanilleeis,207,11,6.7,24,21,3.5,0.08,0
Bratwurst,236,18,7,1,1,18,2,0
Marmorkuchen,447,26,14,54,33,5.4,0.4,0
Chicken Nuggets,241,11,1.5,21,0.5,14,0.98,0
Vegane Leberwurst,345,33,23,5.8,1.6,5.7,1.6,1
Erdbeerjoghurt,93,2.8,1.8,14,13,3,0.1,0
Salatgurke,12,0.1,0,3.6,1.7,0.7,0.002,1
Bretzel,295,5.4,0.3,51,2.7,8.9,2.08,1
Brokkoli,43,0.2,0.05,2.9,1.7,4,0.02,1
Schokomuesli,406,11.3,4.7,60.7,22.2,10.7,0.25,0
Waffel,459,24.3,12.7,53,33.8,7.5,0.3,0
Butter,743,82,55,0.7,0.7,0.6,0.01,0
Schwarzwaelder Schinken,226,14,5.6,0.8,0.2,24,5.5,1
Haferflocken,368,7,1.5,58.7,0.7,13.5,0.02,1
Paprika,43,0.5,0.04,6.4,6.4,1.3,0.2,1
Kartoffel,71,0.1,0,15,0.8,1.7,2,1
Vollmilchschokolade,530,29.5,17.5,58.5,57.5,6.6,0.2,0
Champignongs,22,0.5,0,0.1,0,3.1,0,1
Ketchup,101,0.5,0.1,20,19,1.7,1.8,0
Majonaese,721,79.3,10,0.2,0.2,1.2,0.8,0
Senf,119,7.3,1.5,3.8,1.9,6.7,3.9,1
Walnuesse,723,70,6.6,6,5,16,0.002,1
Sahnebonbons,424,8.4,5.7,86.9,71.6,0.3,1,0
Putenbrustfilet (gebraten),111,1.7,0.6,0,0,24,0.2,1
Datteln,279,0.2,0.1,73,60,2.2,0.001,1
Avocado,160,13,2.8,2,0.7,1.5,0.07,1
Margarine,720,80,23,0,0,0,0.2,1
Bitterschokolade,582,43,26,37,29,6.7,0.001,0
Zucchini,19,0.4,0.1,2.2,1.6,1.6,0,1
Raeucherlachs,193,13,2.6,0,0,19,3,1
Himbeermarmelade,223,0.2,0,52.2,51.7,0.7,0.03,0
Tomate,19,0.1,0,3.5,3.2,0.7,0,1
Doppelkeks,470,18.5,8.6,68.7,32.4,5.4,0.4,0
